Customer_No,Campaign_ID,Treatment,Response,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20
41,1,1,0,0.33,0.47,0.94,0.59,0.32,0.47,0,0.43,0.45,1,0.29,0.61,0.53,0.25,0.31,0.94,0.29,0.44,0.29,0
42,1,1,0,0.89,0.21,0.22,0.28,0.82,0.90,0,0.22,0.36,0,0.93,0.15,0.38,0.08,0.21,0.66,0.38,0.95,0.86,0
43,1,0,0,0.95,0.53,0.08,0.10,0.75,0.65,1,0.92,0.40,0,0.41,0.78,0.80,0.08,0.34,0.85,0.76,0.79,0.16,1
44,1,1,0,0.94,0.60,0.63,0.58,0.48,0.12,0,0.74,0.49,0,0.78,0.32,0.99,0.66,0.27,0.60,0.31,0.88,0.39,1
45,1,1,0,0.15,0.91,0.33,0.19,0.62,0.21,1,0.70,0.37,0,0.82,0.50,0.45,0.66,0.17,0.96,0.02,0.48,0.63,0
46,1,1,0,0.29,0.87,0.97,0.11,0.59,0.08,0,0.16,0.30,0,0.21,0.66,0.57,0.13,0.38,0.48,0.86,0.79,0.39,1
47,1,0,0,0.51,0.91,0.09,0.40,0.63,0.97,0,0.38,0.33,0,0.38,0.45,0.65,0.14,0.32,0.33,0.34,0.39,0.43,0
48,1,1,0,0.59,0.88,0.49,0.54,0.24,0.11,0,0.48,0.32,0,0.42,0.60,0.11,0.38,0.13,0.25,0.61,0.36,0.36,1
49,1,1,0,0.26,0.34,0.62,0.22,0.52,0.12,0,0.40,0.46,1,0.93,0.27,0.20,0.12,0.33,0.80,0.54,0.89,0.75,1
50,1,1,0,0.99,0.38,0.70,0.55,0.57,0.90,0,0.00,0.40,1,0.90,0.73,0.46,0.98,0.72,0.08,0.23,0.87,0.04,0
51,1,1,0,0.49,0.25,0.75,0.67,0.29,0.10,0,0.14,0.08,0,0.63,0.07,0.77,0.07,0.14,0.91,0.82,0.43,0.30,0
52,1,1,0,0.56,0.50,0.35,0.53,0.66,0.13,0,0.78,0.41,1,0.74,0.36,0.52,0.37,0.33,0.94,0.63,0.53,0.10,0
53,1,1,0,0.80,0.91,0.16,0.43,0.32,0.05,0,0.89,0.47,0,0.62,0.61,0.61,0.19,0.44,0.67,0.64,0.55,0.68,1
54,1,0,0,0.87,0.38,0.04,0.09,0.76,0.83,1,0.30,0.30,0,0.04,0.40,0.36,0.96,0.67,0.91,0.31,0.26,0.85,0
55,1,1,0,0.77,0.94,0.89,0.21,0.42,0.12,0,0.62,0.56,1,0.80,0.51,0.44,0.16,0.46,0.51,0.15,0.50,0.34,1
56,1,0,0,0.98,0.07,0.92,0.32,0.50,0.11,0,0.18,0.50,1,0.05,0.95,0.29,0.22,0.23,0.60,0.75,0.63,0.33,1
57,1,0,1,0.18,0.96,0.12,0.40,0.74,0.78,1,0.84,0.12,1,0.94,0.21,0.16,0.54,0.54,0.75,0.27,0.36,0.77,0
58,1,1,0,0.02,0.90,0.42,0.48,0.66,0.82,1,0.03,0.21,0,0.25,0.64,0.46,0.75,0.33,0.11,0.38,0.60,0.80,1
59,1,1,1,0.16,0.64,0.46,0.53,0.38,0.30,1,0.89,0.56,0,0.60,0.70,0.20,0.18,0.54,0.04,0.59,0.73,0.67,1
60,1,0,0,0.61,0.15,0.39,0.32,0.78,0.20,1,0.38,0.18,0,0.03,0.53,0.03,0.25,0.34,0.50,0.44,0.44,0.79,1
61,1,1,0,0.66,0.89,0.67,0.50,0.38,0.76,0,0.29,0.42,0,0.86,0.39,0.50,0.36,0.45,0.13,0.19,0.36,0.37,1
62,1,0,0,0.67,0.16,0.50,0.49,0.50,0.80,1,0.27,0.31,0,0.53,0.81,0.17,0.25,0.43,0.89,0.33,0.43,0.40,0
63,1,1,0,0.99,0.21,0.00,0.27,0.62,0.04,0,0.06,0.28,0,0.01,0.73,0.15,0.16,0.17,0.80,0.16,0.80,0.16,0
64,1,1,0,0.51,0.48,0.01,0.01,0.92,0.64,0,0.77,0.53,1,0.25,0.97,0.48,0.67,0.35,0.69,0.54,0.54,0.23,0
65,1,1,0,0.29,0.00,0.59,0.39,0.73,0.24,1,0.74,0.17,1,0.14,0.53,0.33,0.36,0.46,0.69,0.38,0.00,0.25,1
66,1,1,0,0.40,0.59,0.96,0.41,0.58,0.18,1,0.63,0.52,1,0.02,0.30,0.57,0.61,0.29,0.06,0.22,0.62,0.61,0
67,1,0,0,0.66,0.59,0.02,0.37,0.38,0.33,0,0.05,0.30,1,0.60,0.97,0.13,0.09,0.53,0.15,0.60,0.04,0.32,0
68,1,0,0,0.10,0.73,0.19,0.44,0.38,0.76,1,0.39,0.25,0,0.78,0.85,0.49,0.14,0.10,0.55,0.04,0.62,0.29,1
69,1,0,0,0.16,0.96,0.17,0.51,0.64,0.95,1,0.42,0.49,0,0.32,0.71,0.66,0.96,0.35,0.57,0.72,0.84,0.99,0
70,1,1,1,0.28,0.83,0.60,0.36,0.81,0.72,1,0.64,0.52,1,0.16,0.54,0.51,0.06,0.17,0.50,0.95,0.26,0.89,0
71,1,0,0,0.63,0.11,0.43,0.31,0.52,0.21,1,0.77,0.39,1,0.81,0.58,0.44,0.99,0.20,0.37,0.47,0.01,0.33,0
72,1,1,1,0.30,0.24,0.62,0.59,0.34,0.20,1,0.63,0.52,1,0.63,0.32,0.81,0.75,0.37,0.54,0.79,0.45,0.33,1
73,1,1,0,0.04,0.71,0.14,0.29,0.39,0.84,0,0.12,0.43,1,0.68,0.50,0.59,0.39,0.49,0.38,0.25,0.25,0.89,1
74,1,1,0,0.17,0.07,0.49,0.51,0.48,0.06,1,0.97,0.57,1,0.20,0.53,0.78,0.11,0.35,0.03,0.66,0.80,0.75,1
75,1,1,1,0.28,0.29,0.13,0.38,0.58,0.08,1,0.42,0.32,1,0.39,0.83,0.47,0.86,0.65,0.70,0.82,0.44,0.92,0
76,1,0,0,0.44,0.75,0.25,0.08,0.81,0.62,0,0.14,0.40,0,0.44,0.58,0.20,0.86,0.36,0.01,0.68,0.79,0.16,1
77,1,1,1,0.62,0.06,0.84,0.55,0.23,0.79,1,0.99,0.57,0,0.51,0.01,0.21,0.23,0.39,0.25,0.59,0.34,0.32,0
78,1,1,0,0.93,0.52,0.25,0.39,0.51,0.59,1,0.12,0.06,0,0.79,0.81,0.89,0.75,0.36,0.06,0.50,0.47,0.46,0
79,1,1,0,0.71,0.74,0.50,0.27,0.58,0.06,1,0.14,0.05,1,0.50,0.96,0.99,0.35,0.46,0.70,0.96,0.70,0.17,0
80,1,1,0,0.57,0.23,0.49,0.29,0.59,0.15,0,0.64,0.27,1,0.21,0.66,0.25,0.19,0.39,0.40,0.38,0.93,0.33,0
81,1,1,0,0.43,0.63,0.08,0.32,0.38,0.98,0,0.08,0.40,0,0.11,0.94,0.07,0.16,0.42,0.37,0.78,0.54,0.99,1
82,1,1,0,0.37,0.48,0.41,0.24,0.87,0.62,0,0.05,0.42,0,0.39,0.45,0.74,0.86,0.84,1.00,0.32,0.95,0.91,0
83,1,1,0,0.76,0.45,0.40,0.27,0.72,0.33,0,0.49,0.43,0,0.33,0.53,0.16,0.90,0.17,1.00,0.34,0.40,0.99,0
84,1,1,0,0.88,0.80,0.27,0.26,0.84,0.33,0,0.95,0.22,1,0.75,0.96,0.75,0.47,0.45,0.97,0.38,0.41,0.32,1
85,1,1,0,0.94,0.82,0.08,0.46,0.43,0.10,1,0.28,0.32,0,0.85,0.54,0.09,0.95,0.59,0.38,0.88,0.83,0.50,0
86,1,1,0,0.53,0.81,0.82,0.54,0.26,0.30,1,0.70,0.47,0,0.22,0.46,0.00,0.51,0.44,1.00,0.09,0.80,0.15,1
87,1,1,0,0.85,0.08,0.59,0.37,0.38,0.92,1,0.64,0.12,1,0.91,0.67,0.88,0.89,0.35,0.85,0.22,0.20,0.01,0
88,1,1,1,0.68,0.40,0.32,0.55,0.38,0.80,0,0.23,0.27,1,0.24,0.64,0.53,0.14,0.20,0.43,0.92,0.63,0.29,0
89,1,0,0,0.49,0.49,0.89,0.61,0.53,0.58,1,0.29,0.52,0,0.31,0.56,0.18,0.64,0.28,0.23,0.61,0.17,0.79,1
90,1,0,0,0.99,0.57,0.66,0.35,0.56,0.94,0,0.52,0.41,1,0.73,0.86,0.93,0.76,0.39,0.39,0.38,0.70,0.35,0
91,1,0,0,0.89,0.51,0.20,0.06,0.71,0.93,1,0.58,0.51,0,0.69,0.33,0.87,0.51,0.58,0.91,0.14,0.97,0.79,0
92,1,1,0,0.48,0.87,0.29,0.29,0.58,0.50,0,0.13,0.10,0,0.58,0.12,0.26,0.15,0.23,0.58,0.42,0.98,0.90,1
93,1,1,1,0.15,0.81,0.88,0.49,0.67,0.42,1,0.52,0.30,1,0.54,0.03,0.62,0.05,0.07,0.15,0.04,0.76,0.09,0
94,1,0,0,0.71,0.68,0.62,0.10,0.76,0.27,0,0.68,0.23,0,0.86,0.55,0.30,0.88,0.40,0.55,0.41,0.34,0.07,0
95,1,0,0,0.55,0.14,0.28,0.18,0.46,0.06,1,0.12,0.33,0,0.38,0.57,0.57,0.94,0.69,0.42,0.71,0.90,0.28,0
96,1,0,0,0.19,0.85,0.58,0.53,0.53,0.16,1,0.03,0.50,0,0.74,0.13,0.83,0.83,0.23,0.36,1.00,0.12,0.42,1
97,1,1,0,0.48,0.85,0.06,0.51,0.35,0.12,1,0.99,0.90,0,0.70,0.64,0.68,0.92,0.45,0.48,0.02,0.28,0.12,1
98,1,0,0,0.31,0.13,0.09,0.33,0.57,0.03,1,0.99,0.29,0,0.79,0.59,0.36,0.10,0.35,0.23,0.34,0.70,0.84,1
99,1,1,0,0.73,0.11,0.77,0.21,0.40,0.43,1,0.18,0.23,0,0.67,0.46,0.40,0.32,0.10,0.42,0.88,0.44,0.68,0
100,1,1,0,0.80,0.36,0.68,0.35,0.61,0.94,0,0.43,0.53,0,0.03,0.52,0.94,0.52,0.34,0.41,0.29,0.83,0.09,1
101,1,0,0,0.84,0.27,0.77,0.38,0.62,0.36,0,0.43,0.44,0,0.81,0.53,0.71,0.68,0.57,0.23,0.90,0.64,0.77,1
102,1,1,0,0.66,0.76,0.99,0.09,0.51,0.67,0,0.89,0.58,1,0.20,0.18,0.92,0.78,0.36,0.05,0.62,0.56,0.89,0
103,1,1,0,0.95,0.91,0.94,0.82,0.38,0.40,1,0.15,0.20,0,0.71,0.87,0.04,0.62,0.29,0.99,0.36,0.64,0.15,0
104,1,1,0,0.06,0.16,0.30,0.21,0.69,0.64,0,0.50,0.47,0,0.86,0.95,0.40,0.03,0.03,0.29,0.33,0.68,0.84,1
105,1,1,1,0.98,0.63,0.91,0.50,0.66,0.07,0,0.68,0.35,1,0.73,0.02,0.18,0.10,0.29,0.44,0.18,0.28,0.54,1
106,1,1,0,0.05,0.19,0.19,0.51,0.33,0.31,0,0.18,0.32,1,0.96,0.24,0.40,0.36,0.34,0.05,0.37,0.38,0.07,1
107,1,1,1,0.55,0.04,0.04,0.15,0.76,0.79,1,0.11,0.09,0,0.76,0.90,0.76,0.38,0.55,0.96,0.81,0.99,0.00,1
108,1,1,0,0.80,0.90,0.31,0.40,0.47,0.38,0,0.08,0.14,1,0.28,0.32,0.03,0.75,0.33,0.80,0.56,0.69,0.65,0
109,1,1,0,0.16,0.36,0.28,0.09,0.84,0.82,0,0.56,0.43,1,0.88,0.52,0.06,0.84,0.26,0.39,0.93,0.77,0.01,1
110,1,1,0,0.24,0.10,0.28,0.15,0.74,0.06,0,0.19,0.07,1,0.45,0.93,0.84,0.90,0.72,0.56,0.76,0.53,0.53,0
111,1,1,1,0.33,1.00,0.95,0.63,0.67,0.28,1,0.43,0.09,1,0.97,0.11,0.78,0.21,0.41,0.26,0.05,0.35,0.85,0
112,1,1,0,0.09,0.43,0.10,0.14,0.57,0.53,0,0.17,0.13,0,0.74,0.44,0.16,0.07,0.35,0.04,0.64,0.05,0.73,1
113,1,1,0,0.70,0.02,0.34,0.41,0.64,0.90,1,0.40,0.38,1,0.89,0.46,0.69,0.12,0.39,0.20,0.39,0.36,0.66,1
114,1,0,0,0.94,0.14,0.27,0.57,0.32,0.22,0,0.73,0.58,1,0.95,0.86,0.15,0.21,0.41,0.94,0.49,0.05,0.42,0
115,1,1,0,0.26,0.03,0.93,0.65,0.29,0.48,0,0.31,0.34,0,0.62,0.74,0.36,0.29,0.34,0.60,0.83,0.50,0.93,1
116,1,1,0,0.96,0.89,0.03,0.38,0.35,0.20,0,0.82,0.14,0,0.66,0.73,0.10,0.96,0.73,0.26,0.34,0.96,0.80,0
117,1,1,0,0.01,0.20,0.52,0.54,0.45,0.99,0,0.68,0.43,1,0.15,0.95,0.01,0.48,0.26,0.91,0.43,0.57,0.81,0
118,1,1,0,0.15,0.65,0.70,0.24,0.57,0.66,0,0.61,0.25,0,0.04,0.81,0.55,0.87,0.52,0.65,0.27,0.23,0.41,0
119,1,1,1,0.43,0.31,0.78,0.29,0.37,0.53,0,0.77,0.65,0,0.21,0.45,0.02,0.34,0.12,0.42,0.99,0.82,0.94,0
120,1,0,0,0.47,0.33,0.39,0.34,0.67,0.55,1,0.24,0.28,1,0.95,0.79,0.13,0.70,0.51,0.43,0.91,0.05,0.05,1
121,1,1,0,0.62,0.20,0.23,0.05,0.57,0.91,0,0.53,0.59,0,0.42,0.00,0.57,0.15,0.35,0.66,0.65,0.17,0.98,0
122,1,0,0,0.82,0.14,0.77,0.75,0.15,0.68,0,0.65,0.16,1,0.64,0.68,0.79,0.01,0.15,0.64,0.57,0.91,0.86,0
123,1,1,0,0.50,0.08,0.11,0.47,0.32,0.83,0,0.13,0.42,0,0.63,1.00,0.74,0.84,0.44,0.70,0.73,0.11,0.92,0
124,1,1,0,0.90,0.57,0.68,0.29,0.53,0.56,0,0.97,0.73,0,0.99,0.33,0.93,0.12,0.23,0.50,0.27,0.77,0.97,1
125,1,0,0,0.63,0.04,0.13,0.34,0.75,0.14,0,0.69,0.26,0,0.95,0.23,0.33,0.42,0.32,0.08,0.10,0.25,0.98,1
126,1,0,0,0.45,0.46,0.15,0.47,0.56,0.50,1,0.68,0.39,0,0.95,0.75,0.91,0.38,0.50,0.49,0.86,0.28,0.99,1
127,1,1,1,0.72,0.66,0.29,0.16,0.61,0.79,1,0.95,0.41,0,0.80,0.19,0.30,0.07,0.36,0.24,0.18,0.58,0.89,0
128,1,1,0,0.39,0.64,0.92,0.47,0.51,0.21,0,0.98,0.47,0,0.65,0.04,0.86,0.11,0.22,0.27,0.45,0.91,0.18,1
129,1,1,0,0.36,0.88,0.97,0.64,0.26,0.10,0,0.36,0.29,0,0.95,0.07,0.00,0.11,0.37,0.73,1.00,0.54,0.44,1
130,1,0,0,0.25,0.29,0.55,0.49,0.71,0.62,1,0.78,0.46,0,0.73,0.83,0.20,0.32,0.45,0.26,0.43,0.76,0.28,0
131,1,0,0,0.11,0.13,0.19,0.28,0.60,0.38,0,0.50,0.22,0,0.93,0.59,0.21,0.87,0.78,0.26,0.93,0.42,0.32,0
132,1,1,0,0.08,0.47,0.98,0.14,0.54,0.59,0,0.03,0.26,1,0.68,0.75,0.76,0.90,0.29,0.79,0.09,0.04,0.15,1
133,1,0,0,0.21,0.48,0.26,0.57,0.43,0.63,0,0.14,0.24,0,0.82,0.56,0.08,0.70,0.54,0.15,0.31,0.79,0.47,1
134,1,1,0,0.81,0.02,0.02,0.17,0.67,0.11,1,0.33,0.11,0,0.85,0.26,0.43,0.26,0.46,0.41,0.03,0.51,0.35,1
135,1,0,0,0.82,0.29,0.27,0.17,0.91,0.19,1,0.32,0.40,1,0.04,0.40,0.06,0.64,0.34,0.42,0.31,0.28,0.91,1
136,1,1,0,0.99,0.27,0.10,0.32,0.71,0.62,0,0.92,0.06,1,0.36,0.50,0.35,0.15,0.05,0.65,0.47,0.17,0.16,1
137,1,1,0,0.79,0.33,0.87,0.74,0.46,0.26,0,0.04,0.30,1,0.19,0.47,0.31,0.19,0.22,0.83,0.71,0.62,0.58,0
138,1,0,0,0.18,0.32,0.65,0.05,0.65,0.39,0,0.29,0.39,1,0.78,0.04,0.80,0.33,0.42,0.81,0.68,0.42,0.87,0
139,1,0,1,0.13,0.52,0.32,0.24,0.79,0.38,1,0.49,0.29,0,0.71,0.58,0.40,0.24,0.16,0.19,0.18,0.72,0.52,1
140,1,1,0,0.13,0.92,0.57,0.58,0.60,0.08,0,0.62,0.55,1,0.92,0.52,0.75,0.84,0.39,0.91,0.30,0.19,0.17,1
141,1,1,1,0.96,0.09,0.62,0.50,0.55,0.91,1,0.75,0.56,0,0.08,0.11,0.67,0.25,0.20,0.28,0.56,0.83,0.73,0
142,1,1,0,0.74,0.85,0.56,0.53,0.33,0.08,0,0.62,0.23,0,0.37,0.91,0.13,0.62,0.45,1.00,0.39,0.77,0.18,1
143,1,0,1,0.39,0.91,0.89,0.38,0.73,0.97,1,0.73,0.40,1,0.29,0.04,0.96,0.51,0.31,0.11,0.99,0.93,0.36,0
144,1,1,0,0.38,0.04,0.18,0.16,0.69,0.26,0,0.10,0.17,0,0.75,0.43,0.30,0.48,0.37,0.98,0.40,0.45,0.02,1
145,1,1,0,0.76,0.34,0.27,0.35,0.75,0.31,1,0.43,0.07,0,0.44,0.58,0.81,0.52,0.12,0.15,0.76,0.32,0.10,0
146,1,1,0,0.91,0.48,0.21,0.40,0.73,0.50,0,0.26,0.27,1,0.37,0.26,0.08,0.43,0.47,0.47,0.40,0.05,0.02,1
147,1,1,1,0.48,0.22,0.93,0.34,0.49,0.66,1,0.27,0.42,1,0.81,0.58,0.53,0.09,0.52,0.26,0.15,0.75,0.91,1
148,1,1,1,0.88,0.80,0.70,0.35,0.39,0.92,1,0.58,0.23,1,0.13,0.66,0.07,0.33,0.14,0.92,0.29,0.80,0.39,1
149,1,1,0,0.67,0.94,0.49,0.44,0.55,0.36,0,0.07,0.12,1,0.12,0.75,0.40,0.61,0.30,0.73,0.14,0.17,0.28,0
150,1,0,0,0.47,0.95,0.08,0.45,0.36,0.46,1,0.64,0.03,0,0.17,0.09,0.62,0.40,0.57,0.47,0.25,0.02,0.98,0
151,1,0,0,0.78,0.42,0.55,0.51,0.35,0.72,1,0.03,0.04,1,0.93,0.76,1.00,0.53,0.25,0.05,0.97,0.51,0.32,1
152,1,1,1,0.47,0.75,0.42,0.27,0.38,0.69,1,0.93,0.45,1,0.03,0.94,0.46,0.00,0.29,0.57,0.64,0.18,0.41,1
153,1,1,0,0.83,0.32,0.24,0.16,0.68,0.91,1,0.76,0.36,1,0.33,0.60,0.73,0.69,0.20,0.23,0.46,0.50,0.52,1
154,1,1,0,0.73,0.22,0.33,0.12,0.58,0.21,0,0.43,0.57,0,0.82,0.27,0.53,0.97,0.11,0.74,0.57,0.55,0.02,0
155,1,1,0,0.41,0.70,0.72,0.49,0.46,0.42,0,0.20,0.48,1,0.48,0.74,0.23,0.41,0.30,0.07,0.99,0.27,0.83,1
156,1,1,0,0.91,0.19,0.79,0.23,0.53,0.93,1,0.36,0.11,0,0.48,0.72,0.17,0.32,0.16,0.57,0.66,0.61,0.56,1
157,1,1,0,0.09,0.02,0.58,0.59,0.37,0.24,1,0.87,0.34,1,0.45,0.66,0.43,0.56,0.48,0.27,0.95,0.75,0.48,0
158,1,1,0,0.37,0.78,0.11,0.40,0.41,0.39,0,0.91,0.42,1,0.36,0.52,0.25,0.60,0.18,0.26,0.70,0.73,0.12,0
159,1,1,0,0.88,0.39,0.66,0.74,0.21,0.97,0,0.98,0.52,1,0.39,0.47,0.45,0.45,0.14,0.85,0.26,0.39,0.42,1
160,1,1,0,0.93,0.55,0.84,0.52,0.71,0.24,0,0.98,0.35,0,0.21,0.55,0.46,0.67,0.45,0.13,0.44,0.27,0.38,0
161,1,1,0,0.40,0.27,0.15,0.39,0.31,0.86,0,0.70,0.36,0,0.99,0.51,0.52,0.69,0.54,0.36,0.46,0.20,0.18,0
162,1,1,1,0.18,0.30,0.47,0.17,0.59,0.35,0,0.14,0.21,0,0.16,0.08,0.95,0.49,0.12,0.80,0.60,0.56,0.17,1
163,1,1,0,0.47,0.41,0.32,0.28,0.69,0.83,0,0.22,0.13,0,0.77,0.43,0.69,0.63,0.31,0.21,0.60,0.96,0.12,0
164,1,1,0,0.59,0.50,0.61,0.27,0.56,0.70,0,0.77,0.45,1,0.31,0.12,0.46,0.56,0.64,0.39,0.89,0.05,0.67,0
165,1,1,0,0.40,0.17,0.01,0.35,0.71,0.60,1,0.84,0.23,1,0.50,0.42,0.27,0.70,0.35,0.19,0.81,0.73,0.14,0
166,1,0,1,0.69,0.24,0.06,0.36,0.47,0.57,1,0.78,0.39,1,0.88,0.43,0.41,0.98,0.56,0.94,0.31,0.18,0.32,0
167,1,1,0,0.27,0.51,0.11,0.35,0.62,0.52,1,0.95,0.23,0,0.08,0.44,0.37,0.38,0.47,0.89,0.36,0.85,0.89,1
